State / Union Territory,City / town,SO2 Annual Average,NO2 Annual Average,PM10 Annual Average,PM2.5 Annual Average
Andhra Pradesh,Amaravati,14,12,55,28
Andhra Pradesh,Anatapur,7,16,64,30
Andhra Pradesh,Chittor,5,14,46,25
Andhra Pradesh,Eluru,5,17,63,30
Andhra Pradesh,Guntur,5,17,60,29
Andhra Pradesh,Kadapa,5,14,53,26
Andhra Pradesh,Kakinada,8,14,61,28
Andhra Pradesh,Kurnool,6,15,58,26
Andhra Pradesh,Nellore,5,17,55,23
Andhra Pradesh,Ongole,5,17,53,18
Andhra Pradesh,Rajahmundry,8,15,72,33
Andhra Pradesh,Srikakulam,9,20,77,27
Andhra Pradesh,Tirupati,6,22,51,27
Andhra Pradesh,Vijayawada,5,17,65,34
Andhra Pradesh,Visakhapatnam,12,35,103,41
Andhra Pradesh,Vizianagaram,9,19,72,27
Arunachal Pradesh,Naharlagun,27,6,54,15
Assam,Guwahati,26,11,114,60
Assam,Nalbari,6,14,92,42
Assam,Silcher,8,9,46,37
Bihar,Gaya,11,14,79,52
Bihar,Hajipur,5,11,148,60
Bihar,Muzaffarpur,6,13,142,80
Bihar,Patna,8,39,150,73
Chandigarh (UT),Chandigarh,6,24,98,49
Chattisgarh,Bilaspur,8,13,71,28
Chattisgarh,Durg-Bhillainagar,7,11,61,31
Chattisgarh,Raipur,13,22,62,35
Dadara & Nagar Haveli and Daman & Diu (UT),Daman,15,20,84,30
Delhi (UT),Delhi,10,42,207,107
Goa,Amona,7,13,59,27
Goa,Assanora,7,13,58,26
Goa,Bicholim,8,13,61,28
Goa,Codli,7,13,62,28
Goa,Cuncolim,6,13,67,32
Goa,Honda,7,13,61,28
Goa,Kundaim,7,13,62,28
Goa,Mapusa,2,16,57,24
Goa,Margao,7,13,59,27
Goa,Panaji,2,15,73,26
Goa,Ponda,8,13,63,28
Goa,Sanguem,7,13,60,28
Goa,Tilamol,7,13,62,29
Goa,Tuem,7,13,59,27
Goa,Usgao-Pale,8,13,64,29
Goa,Vasco,2,15,58,32
Gujarat,Ahmedabad,17,34,123,46
Gujarat,Ankleshwar,40,26,120,63
Gujarat,Gandhinagar,9,15,78,40
Gujarat,Jamnagar,14,18,116,28
Gujarat,Nandesari,6,8,72,51
Gujarat,Navarangpur,12,16,97,23
Gujarat,Rajkot,14,18,118,30
Gujarat,Surat,20,24,100,35
Gujara,Saraspur,13,17,120,27
Gujarat,Vadodara,15,19,111,30
Gujarat,Vapi,16,24,114,51
Gujarat,Vatva,28,68,160,67
Haryana,Ambala,9,21,122,62
Haryana,Ballabgarh,9,35,165,82
Haryana,Bhiwani,13,23,135,50
Haryana,Charkhi Dadri,5,28,156,79
Haryana,Dharuhera,18,26,187,77
Haryana,Faridabad,10,35,230,98
Haryana,Fatehabad,10,22,153,61
Haryana,Gurgaon,6,20,174,93
Haryana,Hissar,12,30,162,92
Haryana,Jind,10,24,145,88
Haryana,Kaithal,21,17,144,58
Haryana,Karnal,26,20,119,60
Haryana,Kurukshetra,10,29,142,69
Haryana,Mandikhera,15,21,92,52
Haryana,Manesar,8,9,164,96
Haryana,Narnaul,7,25,175,69
Haryana,Palwal,10,11,127,37
Haryana,Panipat,39,15,196,61
Haryana,Sirsa,15,26,129,57
Haryana,Sonepat,9,24,319,55
Haryana,Yamuna Nagar,7,24,166,79
Himachal Pradesh,Baddi,2,13,139,45
Himachal Pradesh,Damtal,2,5,67,33
Himachal Pradesh,Dharamshala,2,5,42,22
Himachal Pradesh,Kala Amb,4,15,118,51
Himachal Pradesh,Manali,2,7,41,13
Himachal Pradesh,Nalagarh,2,12,92,29
Himachal Pradesh,Parwanoo,2,5,38,11
Himachal Pradesh,Poanta Sahib,3,13,90,44
